station_icao,station_name,url,station_wmo_id
WAPF,Stasiun Meteorologi Karel Sadsuitubun,/4/30/439/161/gts,97810
WAPS,Stasiun Meteorologi Mathilda Batlayeri,/4/30/440/164/gts,97900
WAPA,Stasiun Meteorologi Amahai,/4/30/438/153/gts,97722
WAPC,Stasiun Meteorologi Bandaneira,/4/30/438/159/gts,97790
WAPR,Stasiun Meteorologi Namlea,/4/30/441/152/gts,97700
WAPP,Stasiun Meteorologi Pattimura,/4/30/447/154/gts,97724
WAFF,Stasiun Meteorologi Mutiara Sis-Al Jufri,/4/25/390/100/gts,97072
WAFW,Stasiun Meteorologi Syukuran Aminudin Amir,/4/25/386/12329/gts,97086
WAFL,Stasiun Meteorologi Sultan Bantilan,/4/25/383/98/gts,97028
WAFP,Stasiun Meteorologi Kasiguncu,/4/25/381/103/gts,97096
WAMH,Stasiun Meteorologi Naha,/4/24/367/94/gts,97008
WAMM,Stasiun Meteorologi Sam Ratulangi,/4/24/376/96/gts,97014
WAMG,Stasiun Meteorologi Djalaluddin,/4/28/427/99/gts,97048
WAWB,Stasiun Meteorologi Beto Ambari,/4/27/426/114/gts,97192
WAWP,Stasiun Meteorologi Sangia Ni Bandera,/4/27/415/107/gts,97142
WAEL,Stasiun Meteorologi Oesman Sadik,/4/31/452/138/gts,97460
WAEG,Stasiun Meteorologi Gamar Malamo,/4/31/451/135/gts,97406
WAES,Stasiun Meteorologi Emalamo,/4/31/453/144/gts,97600
WAEE,Stasiun Meteorologi Sultan Babullah,/4/31/456/136/gts,97430
WAAA,Stasiun Meteorologi Sultan Hasanuddin,/4/26/399/110/gts,97180
WAFB,Stasiun Meteorologi Toraja,/4/26/408/105/gts,97124
WAFM,Stasiun Meteorologi Andi Jemma,/4/26/409/106/gts,97126
WAFJ,Stasiun Meteorologi Tampa Padang,/4/29/434/12321/gts,97116
WITN,Stasiun Meteorologi Maimun Saleh,/1/1/20/1/gts,96001
WITT,Stasiun Meteorologi Sultan Iskandar Muda,/1/1/6/3/gts,96011
WITC,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,/1/1/15/5/gts,96015
WIMA,Stasiun Meteorologi Malikussaleh,/1/1/8/2/gts,96009
WIBB,Stasiun Meteorologi Sultan Syarif Kasim II,/1/4/86/19/gts,96109
WIBJ,Stasiun Meteorologi Japura,/1/4/77/26/gts,96171
WIMN,Stasiun Meteorologi Silangit,/1/2/25/11261/gts,96043
WIMM,Stasiun Meteorologi Kualanamu,/1/2/30/9/gts,96035
WIMB,Stasiun Meteorologi Binaka,/1/2/27/14/gts,96075
