file_name,tanggal_data,wmo_id,station_name,status
P2096645B202503250000.DAT,2025-03-25 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
P2096509C2025032500.DAT,2003-25-20 25:00,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
P2096805B2503250000.DAT,2025-03-25 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
P2096509D2025032500.DAT,2003-25-20 25:00,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
T2097502D202503250000.DAT,2025-03-25 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
T2096645C202503250000.DAT,2025-03-25 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
P2096147D202503250000.DAT,2025-03-25 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
P2097502B202503250000.DAT,2025-03-25 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
T2096509A2025032500.DAT,2003-25-20 25:00,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
P2096147C202503250000.DAT,2025-03-25 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
P2096805D202503250000.DAT,2025-03-25 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
P2096509A2025032500.DAT,2003-25-20 25:00,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
P2096805C202503250000.DAT,2025-03-25 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
P2096645D202503250000.DAT,2025-03-25 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
T2096509B2025032500.DAT,2003-25-20 25:00,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
P2096645C202503250000.DAT,2025-03-25 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
T2096509C2025032500.DAT,2003-25-20 25:00,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
D97180_2025032500.DAT,2025-03-25 00:00,97180,WAAA_Stasiun Meteorologi Sultan Hasanuddin,Dikenali
T2096805D202503250000.DAT,2025-03-25 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D96581_2025032500.DAT,2025-03-25 00:00,96581,WIOO_Stasiun Meteorologi Supadio,Dikenali
T2096805B2503250000.DAT,2025-03-25 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
T2096805B202503250000.DAT,2025-03-25 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
P2096645A202503250000.DAT,2025-03-25 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
T2097502C202503250000.DAT,2025-03-25 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
P2096147B202503250000.DAT,2025-03-25 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96935_2025032500.DAT,2025-03-25 00:00,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
P2097502D202503250000.DAT,2025-03-25 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
T2096645D202503250000.DAT,2025-03-25 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
T2096509D2025032500.DAT,2003-25-20 25:00,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
P2097502A202503250000.DAT,2025-03-25 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
T2096805A202503250000.DAT,2025-03-25 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
T2096147C202503250000.DAT,2025-03-25 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
T2097502A202503250000.DAT,2025-03-25 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
P2096805B202503250000.DAT,2025-03-25 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
T2096805C202503250000.DAT,2025-03-25 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
