file_name,tanggal_data,wmo_id,station_name,status
D96253_2025032500IUKG.BIN,2025032500,96253,WIGG_Stasiun Meteorologi Fatmawati Soekarno,Dikenali
D96645_202503250000.bin,2025032500,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
D96935_2025032500IUSG.BIN,2025032500,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
D97014_2025032500IUKG.BIN,2025032500,97014,WAMM_Stasiun Meteorologi Sam Ratulangi,Dikenali
D96935_2025032500IUKG.BIN,2025032500,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
D96805_202503250000.bin,2025032500,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D97502_202503250000.bin,2025032500,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
D97180_2025032500IUSG.BIN,2025032500,97180,WAAA_Stasiun Meteorologi Sultan Hasanuddin,Dikenali
D96645_202503250000.bfr,2025032500,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
D96253_2025032500IUSG.BIN,2025032500,96253,WIGG_Stasiun Meteorologi Fatmawati Soekarno,Dikenali
D97180_2025032500IUKG.BIN,2025032500,97180,WAAA_Stasiun Meteorologi Sultan Hasanuddin,Dikenali
D97560_2025032500IUSG.BIN,2025032500,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
D96805_202503250000.bfr,2025032500,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D96509_202503250000.bfr,2025032500,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
D97502_202503250000.bfr,2025032500,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
D96147_202503250000.bin,2025032500,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D97560_2025032500IUKG.BIN,2025032500,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
D96581_2025032500IUSG.BIN,2025032500,96581,WIOO_Stasiun Meteorologi Supadio,Dikenali
D96509_202503250000.bin,2025032500,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
D97014_2025032500IUSG.BIN,2025032500,97014,WAMM_Stasiun Meteorologi Sam Ratulangi,Dikenali
D96147_202503250000.bfr,2025032500,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
