file_name,tanggal_data,wmo_id,station_name,status
P2097502A202504240000.X,A-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
A_IUSG54WAPP240000_C_WIIX_20250424010920.BIN,-,-,-,Format tidak dikenali
A_IUSG55WASS240000_C_WIIX202504240000.bin,-,-,-,Format tidak dikenali
D96035_2025042400.X,2025-04-24 00:00,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
A_IUSG55WAKK240000_C_WIIX_20250424005139.BIN,-,-,-,Format tidak dikenali
A_IUKG53WARR240000_C_WIIX_20250424002912.BIN,-,-,-,Format tidak dikenali
T2096645A202504240000.X,A-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
P2096147A202504240000.X,A-- :,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
A_IUKG55WAKK240000_C_WIIX_20250424003728.BIN,-,-,-,Format tidak dikenali
D97724_2025042400.X,2025-04-24 00:00,97724,WAPP_Stasiun Meteorologi Pattimura,Dikenali
P2096805A2025042400GTS.X,2025-04-24 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
A_IUKG54WAAA240000_C_WIIX_20250424002850.BIN,-,-,-,Format tidak dikenali
T2096147A202504240000.X,A-- :,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
A_IUKG51WIMM240000_C_WIIX_20250424002848.BIN,-,-,-,Format tidak dikenali
D97980_2025042400.X,2025-04-24 00:00,97980,WAKK_Stasiun Meteorologi Mopah,Dikenali
T2097502A202504240000.X,A-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
A_IUKG54WAPP240000_C_WIIX_20250424003104.BIN,-,-,-,Format tidak dikenali
A_IUSG52WIIL240000_C_WIIX202504240000.bin,-,-,-,Format tidak dikenali
D96581_2025042400.X,2025-04-24 00:00,96581,WIOO_Stasiun Meteorologi Supadio,Dikenali
A_IUKG52WIIL240000_C_WIIX202504240000.bfr,-,-,-,Format tidak dikenali
A_IUSG54WAAA240000_C_WIIX_20250424005532.BIN,-,-,-,Format tidak dikenali
A_IUKG53WAGI240000_C_WIIX202504240000.bfr,-,-,-,Format tidak dikenali
A_IUSG53WARR240000_C_WIIX_20250424004719.BIN,-,-,-,Format tidak dikenali
A_IUKG51WION240000_C_WIIX202504240000.bfr,-,-,-,Format tidak dikenali
D96935_2025042400.X,2025-04-24 00:00,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
P2096645A202504240000.X,A-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
D97180_2025042400.X,2025-04-24 00:00,97180,WAAA_Stasiun Meteorologi Sultan Hasanuddin,Dikenali
A_IUSG55WABB240000_C_WIIX_20250424005330.BIN,-,-,-,Format tidak dikenali
A_IUSG51WION240000_C_WIIX202504240000.bin,-,-,-,Format tidak dikenali
A_IUSG53WAGI240000_C_WIIX202504240000.bin,-,-,-,Format tidak dikenali
A_IUKG55WASS240000_C_WIIX202504240000.bfr,-,-,-,Format tidak dikenali
A_IUKG52WIOO240000_C_WIIX_20250424002936.BIN,-,-,-,Format tidak dikenali
A_IUKG55WABB240000_C_WIIX_20250424002620.BIN,-,-,-,Format tidak dikenali
A_IUSG52WIOO240000_C_WIIX_20250424005847.BIN,-,-,-,Format tidak dikenali
D97560_2025042400.X,2025-04-24 00:00,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
A_IUSG51WIMM240000_C_WIIX_20250424005143.BIN,-,-,-,Format tidak dikenali
T2096805A2025042400GTS.X,2025-04-24 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
