filename,wmoid,date,station_name
P2096645B202504060000.DAT,96645,202504060000,Unknown
D96035_2025032800.DAT,96035,202503280000,Unknown
D96935_2025032800IUKG.BIN,96935,202503280000,Unknown
P2096011A202503270000.DAT,96011,202503270000,Unknown
T2096147A202504110000.X,96147,202504110000,Unknown
D96581_2025032700.DAT,96581,202503270000,Unknown
P2096645A202504120000.DAT,96645,202504120000,Unknown
T2096805A202504080000.DAT,96805,202504080000,Unknown
D97072_2025032000.DAT,97072,202503200000,Unknown
P2097502D202503300000.DAT,97502,202503300000,Unknown
T2096147B202504150000.X,96147,202504150000,Unknown
P2097502A202504050000.DAT,97502,202504050000,Unknown
D97014_2025031400IUSG.BIN,97014,202503140000,Unknown
D97014_2025032700IUSG.BIN,97014,202503270000,Unknown
D96253_2025040800IUSG.BIN,96253,202504080000,Unknown
P2097502D202504160000.X,97502,202504160000,Unknown
D96253_2025041300IUSG.BIN,96253,202504130000,Unknown
P2096645B202503250000.DAT,96645,202503250000,Unknown
D96935_2025030900.DAT,96935,202503090000,Unknown
P2097502C202504040000.DAT,97502,202504040000,Unknown
P2096147A202503300000.DAT,96147,202503300000,Unknown
D96935_2025032300IUSG.BIN,96935,202503230000,Unknown
T2096147D202504120000.X,96147,202504120000,Unknown
D97560_2025031700IUKG.BIN,97560,202503170000,Unknown
D97180_2025040300IUSG.BIN,97180,202504030000,Unknown
P2096805D202503300000.DAT,96805,202503300000,Unknown
D97724_2025030700IUKG.BIN,97724,202503070000,Unknown
D97560_2025032300IUSG.BIN,97560,202503230000,Unknown
T2096011C202504150000.X,96011,202504150000,Unknown
T2096645C202504100000.DAT,96645,202504100000,Unknown
D97560_2025033000IUSG.BIN,97560,202503300000,Unknown
D96581_2025030500.DAT,96581,202503050000,Unknown
D96935_2025033000IUKG.BIN,96935,202503300000,Unknown
D96253_2025032600IUSG.BIN,96253,202503260000,Unknown
D96935_2025041100IUKG.BIN,96935,202504110000,Unknown
D97560_2025041100IUSG.BIN,97560,202504110000,Unknown
P2096805A202503300000.DAT,96805,202503300000,Unknown
D97300_2025031200.DAT,97300,202503120000,Unknown
P2096645D202503300000.DAT,96645,202503300000,Unknown
D97180_2025031400IUKG.BIN,97180,202503140000,Unknown
T2096147D202504100000.DAT,96147,202504100000,Unknown
P2096147D202503310000.DAT,96147,202503310000,Unknown
T2096147C202503260000.DAT,96147,202503260000,Unknown
D96935_2025041600.X,96935,202504160000,Unknown
T2096645B202504120000.DAT,96645,202504120000,Unknown
D96163_2025030600IUKG.BIN,96163,202503060000,Unknown
P2096011C202504110000.DAT,96011,202504110000,Unknown
D96035_2025031100IUKG.BIN,96035,202503110000,Unknown
P2096645B202504100000.DAT,96645,202504100000,Unknown
D97980_2025040600.DAT,97980,202504060000,Unknown
D96935_2025032800IUSG.BIN,96935,202503280000,Unknown
D96237_2025041500IUKG.BIN,96237,202504150000,Unknown
D97014_2025040200IUSG.BIN,97014,202504020000,Unknown
P2096011D202504040000.DAT,96011,202504040000,Unknown
P2096011C202503220000.DAT,96011,202503220000,Unknown
T2096011D202504130000.X,96011,202504130000,Unknown
D97980_2025032600IUKG.BIN,97980,202503260000,Unknown
D96109_2025030500.DAT,96109,202503050000,Unknown
D97230_2025030300.DAT,97230,202503030000,Unknown
D96749_2025011800IUKK.BIN,96749,202501180000,Unknown
P2096645C202504100000.DAT,96645,202504100000,Unknown
D96935_2025032700IUKG.BIN,96935,202503270000,Unknown
D96685_2025030500.DAT,96685,202503050000,Unknown
T2096805A202503300000.DAT,96805,202503300000,Unknown
T2097502B202504090000.DAT,97502,202504090000,Unknown
T2096147D202504130000.X,96147,202504130000,Unknown
P2096645A202504070000.DAT,96645,202504070000,Unknown
P2096011D202503230000.DAT,96011,202503230000,Unknown
T2096011A202504110000.DAT,96011,202504110000,Unknown
D97900_2025030400.DAT,97900,202503040000,Unknown
T2096147B202504030000.DAT,96147,202504030000,Unknown
D96581_2025032900.DAT,96581,202503290000,Unknown
T2096147D202503280000.DAT,96147,202503280000,Unknown
D97724_2025031100IUSG.BIN,97724,202503110000,Unknown
D97072_2025040300IUSG.BIN,97072,202504030000,Unknown
D97072_2025031800IUSG.BIN,97072,202503180000,Unknown
P2096147D202504110000.DAT,96147,202504110000,Unknown
D96253_2025032500IUKG.BIN,96253,202503250000,Unknown
D97724_2025040700.DAT,97724,202504070000,Unknown
T2096645A202503300000.DAT,96645,202503300000,Unknown
P2096645B202504090000.DAT,96645,202504090000,Unknown
D96685_2025030400IUSG.BIN,96685,202503040000,Unknown
D97560_2025032600IUKG.BIN,97560,202503260000,Unknown
T2096805C202503240000.DAT,96805,202503240000,Unknown
T2096645D202504060000.DAT,96645,202504060000,Unknown
D97014_2025032000IUSG.BIN,97014,202503200000,Unknown
P2096645B202503230000.DAT,96645,202503230000,Unknown
T2096011B202503270000.DAT,96011,202503270000,Unknown
D97560_2025041100IUKG.BIN,97560,202504110000,Unknown
D97014_2025030500.DAT,97014,202503050000,Unknown
D96035_2025032900.DAT,96035,202503290000,Unknown
P2097502D202504050000.DAT,97502,202504050000,Unknown
D96253_2025031900IUKG.BIN,96253,202503190000,Unknown
D97980_2025040100IUKG.BIN,97980,202504010000,Unknown
D96685_2025031900IUKG.BIN,96685,202503190000,Unknown
P2096805C202503300000.DAT,96805,202503300000,Unknown
D97072_2025031100IUSG.BIN,97072,202503110000,Unknown
T2097502D202504070000.DAT,97502,202504070000,Unknown
D97230_2025032600IUKG.BIN,97230,202503260000,Unknown
T2096645A202504130000.DAT,96645,202504130000,Unknown
T2097502B202504160000.X,97502,202504160000,Unknown
D96035_2025033000.DAT,96035,202503300000,Unknown
P2096147C202504130000.X,96147,202504130000,Unknown
D97372_2025032900.DAT,97372,202503290000,Unknown
D97014_2025032800.DAT,97014,202503280000,Unknown
P2096147D202504150000.X,96147,202504150000,Unknown
T2096011B202503290000.DAT,96011,202503290000,Unknown
D96935_2025041400IUKG.BIN,96935,202504140000,Unknown
D96935_2025040200IUSG.BIN,96935,202504020000,Unknown
D97560_2025040400IUSG.BIN,97560,202504040000,Unknown
D97180_2025032200.DAT,97180,202503220000,Unknown
D96035_2025030400IUSG.BIN,96035,202503040000,Unknown
T2096011D202503290000.DAT,96011,202503290000,Unknown
P2096645D202504120000.DAT,96645,202504120000,Unknown
P2097502C202504030000.DAT,97502,202504030000,Unknown
D97072_2025032800.DAT,97072,202503280000,Unknown
D96581_2025031100.DAT,96581,202503110000,Unknown
P2096147A202504120000.X,96147,202504120000,Unknown
D97900_2025030500IUKG.BIN,97900,202503050000,Unknown
D97180_2025031600IUKG.BIN,97180,202503160000,Unknown
D96935_2025031600IUSG.BIN,96935,202503160000,Unknown
D97980_2025032900IUSG.BIN,97980,202503290000,Unknown
D97560_2025032100.DAT,97560,202503210000,Unknown
D96935_2025040100.DAT,96935,202504010000,Unknown
D96581_2025032300.DAT,96581,202503230000,Unknown
P2096147D202504110000.X,96147,202504110000,Unknown
T2096011C202504090000.DAT,96011,202504090000,Unknown
D96581_2025032700IUSG.BIN,96581,202503270000,Unknown
D96035_2025031700IUKG.BIN,96035,202503170000,Unknown
P2096011A202504150000.X,96011,202504150000,Unknown
P2096147B202504070000.DAT,96147,202504070000,Unknown
D97724_2025040200IUSG.BIN,97724,202504020000,Unknown
D96749_2025010512IUKK.BIN,96749,202501051200,Unknown
T2097502D202503250000.DAT,97502,202503250000,Unknown
T2096645C202503250000.DAT,96645,202503250000,Unknown
T2096147D202504070000.DAT,96147,202504070000,Unknown
P2097502A202503290000.DAT,97502,202503290000,Unknown
D96685_2025030600IUKG.BIN,96685,202503060000,Unknown
