USID52 WIIL 080000
TTAA 58001 96805 99013 25409 28003 00118 24802 32504 92803
21405 11508 85533 16800 13013 70172 09005 09016 50591 03750
08027 40764 14746 09521 30975 29158 06512 25103 39357 05512
20251 52542 05519 15431 68158 06042 10665 82156 13024 88999
77999 31313 46308 82331=
UKID52 WIIL 080000
TTBB 58008 96805 00013 25409 11980 25015 22915 20600 33892
19000 44795 15444 55700 09005 66680 08604 77672 10662 88667
10464 99648 09659 11618 06657 22612 05857 33562 01460 44530
02129 55516 02920 66437 10158 77380 17525 88364 19557 99300
29158 11283 31966 22264 35965 33258 37357 44243 41362 55226
45517 66159 64960 77142 70956 88125 75950 99100 82156 21212
00013 28003 11848 13014 22667 08019 33571 12021 44460 08534
55234 03509 66141 06546 77122 05023 88112 12005 99103 15518
11100 13024 31313 46308 82331 41414 82531=
ULID52 WIIL 080000
TTCC 58002 96805 70867 74559 08004 50065 69573 24009 30375
59780 09014 20633 53981 10546 88991 82357 12527 77999 31313
46308 82331=
UEID52 WIIL 080000
TTDD 5800/ 96805 11991 82357 22822 83158 33753 75357 44617
75963 55540 68369 66500 69573 77347 65178 88262 54181 99163
49983 21212 11958 11537 22907 09023 33679 10001 44452 13518
55410 11505 66342 06521 77259 06505 88194 09049 99163 07544
31313 46308 82331=
